estimators,20,100,500,1000
Mean Absolute Error: ,0.357991361,0.323974082,0.313174946,0.326133909
Mean Squared Error: ,0.357991361,0.323974082,0.313174946,0.326133909
Root Mean Squared Error: ,0.598323793,0.579187212,0.565379897,0.571081351
